"name","description","weight","usage","picture"
"Morille","Ce sont des champignons printaniers (dès la fonte des neiges), saison assez pauvre pour les mycophages et les amateurs de champignons (mycophiles). Toutes sont d'excellents comestibles, à condition toutefois d'être suffisamment cuites (toxiques à l'état cru).","12","comestible","Morille.jpg" 
"Trompette de la Mort","Malgré son nom peu engageant, la trompette-de-la-mort, à la spectaculaire couleur noire, est l'un des meilleurs champignons de la fin de l'automne. Simplement sauté, il se glisse dans les préparations de viande, ou agrémente les risottos.","10","comestible","TrompetteDeLaMort.jpg" 
"Amanites des Césares","La chair est épaisse, ferme et blanche mais de couleur jaune orangé en surface","50","comestible","AmaniteCesares.jpg" 
"Cèpe d'été","Le cèpe d'été (appelé aussi cèpe réticulé) ressemble fort au cèpe de Bordeaux. Il est rapidement attaqué par les limaces et devient vite verreux. La chair est blanche, un peu moins ferme que celle du "Bordeaux", parfois légèrement sucrée et onctueuse.","150","comestible","CepeEte.jpg" 
"Amanite phalloïde","Une partie du voile initial forme un anneau mou, comme une jupe, d'environ 1 à 1,5 cm sous le chapeau. Les lames blanches sont nombreuses et libres.","40","non-comestible","AmanitePhalloide.jpg" 
"Amanite tue-mouches","L'amanite tue-mouches (Amanita muscaria), très caractéristique, est facile à identifier. Elle est parfois consommée volontairement pour ses effets hallucinogènes. Ce champignon contient de l'acide iboténique, du muscimol et de la muscazone.","50","non-comestible","AmaniteTueMouches.jpg" 
"Bolet de Satan","Le Bolet satan est le plus gros des Bolets d'Europe, son chapeau généralement de 10 à 25 cm de diamètre peut atteindre voire dépasser 30 cm . Blanc pur au départ, il ressemble alors à une boule de neige, il s'étale ensuite en un large dôme aplati et tourne au grisâtre aux reflets verdâtres.","200","non-comestible","BoletDeSatan.jpg" 
"Bolet pied rouge","C'est un champignon charnu à la chair jaune vif qui bleuit au moindre contact. Le pied mesure de 3 à 18 cm de haut pour 2 à 5 cm de large, en forme de massue et s'élançant vers le chapeau. Il est de couleur jaune et recouvert de nombreux points rouges.","30","comestible","BoletPiedRouge.jpg" 
"Coprin chevelu","Le coprin chevelu a un chapeau tout à fait caractéristique couvert de mèches laineuses blanches, "chevelues", devenant noirâtres sur la bordure, avec une forme en « doigt de gant » ou cloche, presque cylindrique. Il peut mesurer entre 5 et 15 cm de hauteur.","30","comestible","CoprinChevelu.jpg" 
"Vesse-de-loup","Lycoperdon perlatum, la Vesse-de-loup perlée, est une espèce de champignons basidiomycètes de la famille des Agaricaceae ou des Lycoperdaceae selon les classifications. C'est un champignon de taille moyenne avec un corps rond, allant en s'amenuisant vers une tige large.","200","comestible","VesseDeLoup.jpg" 
"Pied Bleu","Le Pied bleu est le nom vernaculaire français du Tricholome nu, une espèce de champignons basidiomycètes, excellent comestible, rattaché à la famille des Tricholomatacées.","30","comestible","PiedBleu.jpg" 
"Lactaire Sanguin","Elles sont typiquement rose vineux pâle, avec une marge chamois rose pâle. Le stipe est cylindrique et mesure de 2 à 5 cm de haut pour 1 à 3 cm d'épaisseur. Sa surface lisse est beige rosâtre à gris rosâtre, parfois avec quelques fossettes (scrobicules) orange rougeâtre à brun-vineux. La chair varie de ferme à fragile.","500","comestible","LactaireSanguin.jpg" 
"Pleurote","Sa forme de coquille d'huitre est à l'origine de son nom. Ses lames sont décurrentes, serrées, blanches ou crème, et le pied est très court, aussi excentré. La chair est ferme et élastique à la fois, avec un goût et une odeur à la fois suaves et peu affirmés, ce qui en fait sans doute son attrait.","81","comestible","Pleurote.jpg" 
"Truffe","Champignon ascomycète mycorhizien en forme de tubercule souterrain apprécié pour son parfum, qu'il communique aux préparations culinaires, et dont la plante hôte est généralement le chêne.","60","comestible","TruffeNoire.jpg" 
"Bolet Jaune","hapeau 5 à 12 cm , hémisphérique puis convexe, brun-rouge à brun chocolat légèrement violacé, Cuticule. Cuticule très visqueuse, séparable mais fragile, marge dépassante.","150","comestible","BoletJaune.jpg" 
"Cèpe de Bordeaux","10 à 30 cm de haut. 5 à 30 cm de diamètre, épais, convexe en se développant de couleur variable (bai, brun, marron, ocre, brun-roux). 10 à 25 cm de long, massif, blafard, d'abord bulbeux puis s'allongeant au fur et à mesure du développement du champignon, réticulé de blanc.","1000","comestible","CepeBordeaux.jpg" 
"Bolet Bai","Le chapeau du bolet bai est assez charnu, de couleur beige foncée à marron, il mesure de 4 à 15 cm et a une forme convexe, qui s'aplatit en vieillissant. Le revêtement est velouté et visqueux par temps humide. Les tubes sont de couleur beige à jaune et bleuissent au toucher.","50","comestible","BoletBai" 
"Chanterelles d'automne","Elle a une forme de trompette (comme les trompettes de la mort) et porte des plis sous son chapeau. Il en existe plusieurs espèces : Cantharellus tubaeformis qui possède un pied jaune-brun et un chapeau brun plus foncé. La variété « lutescens » a un pied plus coloré jaune-orangé.","16","comestible","ChanterelleAutomne.jpg" 
"Pied de Mouton","e pied est excentré, 3 à 8 cm de haut sur 1 à 3 cm de large, plutôt robuste, avec une forme irrégulière variable mais généralement trapu, de la même couleur que les aiguillons, roussissant par endroits. La chair est ferme mais cassante, blanche mais virant à l'orange, presque toujours saine.","15","comestible","PiedDeMouton.jpg" 
"Girolle","Son chapeau (de 2 à 12 cm de diamètre) de couleur jaune citron à orangé est convexe. La girolle a une forme en entonnoir. Au revers, des plis formant des lamelles descendent assez bas sur le pied. Son pied s'amincit vers la base.","5,4","comestible","Girolle.jpg" 
